user_id,name,email,signup_date,country
U10000,Barbara Garner,hcarrillo@example.net,2025-04-24,Nigeria
U10001,Sandra Cox,klove@example.net,2026-01-19,Nigeria
U10002,Tara Harrell,tara27@example.org,2025-08-28,Nigeria
U10003,Dwayne Cooke,mmiller@example.com,2026-01-18,Nigeria
U10004,Joanna Estes,jesse86@example.net,2024-11-29,Nigeria
U10005,Christina Gaines,laura35@example.org,2024-10-17,Nigeria
U10006,Mark Kerr,invalid_email,2025-03-10,Nigeria
U10007,Logan Callahan,tuckertheresa@example.net,2025-04-30,Nigeria
U10008,Isaac Hart,invalid_email,2023-10-31,Nigeria
U10009,Thomas Miller,zfuller@example.com,2025-07-10,Nigeria
U10010,Roy Kelly,fpowell@example.com,2024-09-26,Nigeria
U10011,Brian Turner,hannatravis@example.net,2024-01-04,NIG
U10012,Austin Black,gburns@example.com,2024-12-14,Nigeria
U10013,John Cruz,christopher43@example.org,2024-04-01,Nigeria
U10014,Edwin Anderson,cbrown@example.com,2025-02-16,NIG
U10015,Jacqueline Smith,ubaker@example.net,2024-09-09,Nigeria
U10016,Lori Quinn,russellmary@example.org,2024-02-09,NIG
U10017,Tracy Greene,ilambert@example.com,2025-02-05,NIG
U10018,Eric Haley,invalid_email,2025-11-18,NIG
U10019,Randy Mitchell,dennisweber@example.com,2024-02-27,Nigeria
U10020,Eric Bryant,ayersdennis@example.com,2026-01-18,Nigeria
U10021,Shirley Christian,brandon01@example.org,2023-12-23,NIG
U10022,Craig Strickland,invalid_email,2024-06-02,NIG
U10023,Michael Vega,christopherorozco@example.net,2024-06-03,Nigeria
U10024,Amanda Rodriguez,jeffreyanderson@example.net,2025-12-17,NIG
U10025,Sara Gonzalez,robersondustin@example.org,2026-02-28,Nigeria
U10026,Debra Graham,invalid_email,2025-04-29,Nigeria
U10027,Scott Schwartz,igilbert@example.com,2024-08-21,NIG
U10028,Michael Hurst,markwise@example.org,2025-11-13,Nigeria
U10029,Jennifer Fry,dhernandez@example.org,2023-08-08,NIG
